track,id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,coverlink
Monster,6RwiFA2a6b8xICdSi4wUqk,0.474,0.747,10,-7.492,0.148,0.00635,0.000589,0.168,0.604,77.537,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
I Will Love You,2gS8VlpLjTcLezc70LFRAd,0.411,0.201,9,-8.318,0.0566,0.934,0,0.0954,0.244,200.977,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
My Songs Know What You Did In The Dark (Light Em Up),2E43WFS4rRc09za2r2GmZl,0.558,0.924,9,-4.341,0.064,0.0271,3.32e-06,0.537,0.567,151.99,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Four Letter Words,00SPlWcWYIAI8S6Cxtad2I,0.696,0.83,8,-4.866,0.146,0.0717,2.39e-06,0.171,0.677,138.057,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,0.617,0.635,11,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Oh No!!! (from The Suicide Squad),7mYKxi4gqlSweFg2xigZ1w,0.597,0.655,2,-6.665,0.0614,0.0272,2.46e-05,0.438,0.378,81.084,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Me And My Broken Heart,1oew3nFNY3vMacJAsvry0S,0.545,0.783,5,-4.261,0.0345,0.00489,0,0.132,0.551,174.084,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
midnight love,32XaqPVTVkkuOiOPQZ3SpA,0.284,0.538,2,-9.894,0.0886,0.717,0.105,0.111,0.259,179.708,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
A Million Dreams,0RoA7ObU6phWpqhlC9zH4Z,0.265,0.312,7,-11.689,0.0569,0.243,0,0.0893,0.0998,54.747,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Ain't No Sunshine,5Ua7JMWHaHTvYnvUgcyilk,0.353,0.415,4,-9.103,0.0277,0.783,0,0.117,0.458,143.83,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Just Yet,1XwxNEqAu09LszW1y32UlK,0.597,0.288,2,-9.722,0.0519,0.784,0,0.148,0.116,82.529,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
FEEL NOTHING,4xDwCYhobDehSBGUmd5H6Y,0.448,0.825,4,-5.307,0.0621,0.00353,0,0.108,0.226,144.17,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
"Determinate - From ""Lemonade Mouth""",4qEoqyPbLYnLOii6mKlIjI,0.562,0.768,1,-5.006,0.0488,0.00361,0,0.0742,0.218,139.968,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Honey,5QTdOvIF2ehBMZpSIIGzIo,0.606,0.24,3,-7.102,0.0369,0.772,0,0.0819,0.526,96.792,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Eyes Closed,2WQn7Yvs728KZmmY6tgWqH,0.581,0.684,1,-4.962,0.0429,0.0179,1.93e-05,0.0849,0.0397,129.966,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Look Who's Cryin' Now,6Q0j526ymBAvizdCHmoM9x,0.692,0.578,7,-4.716,0.0496,0.429,0,0.161,0.259,103.027,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
Blood Oceans (How Many?),7HG0J5pblRBXV1weLaNeMr,0.791,0.763,8,-5.892,0.0467,0.158,0.0011,0.368,0.1,124.085,https://wrapped-images.spotifycdn.com/image/yts-2022/large/your-top-songs-2022_large_en.jpg
